  0.10    3.00   10.00   31.00
#-- Asp-Arg   *     
 -2.839   -0.299   3.295   -0.265
 3.00         2.08381        -6.66965     0.00000         0.00000
 3.10         1.41719        -6.66965     0.00000         0.00000
 3.20         0.74988        -6.69640     0.00000         0.00000
 3.30         0.07791        -6.76935     0.00000         0.00000
 3.40        -0.60399        -6.85480     0.00000         0.00000
 3.50        -1.29305        -6.87350     0.00000         0.00000
 3.60        -1.97869        -6.54125     0.00000         0.00000
 3.70        -2.60130        -5.52000     0.00000         0.00000
 3.80        -3.08269        -4.27885     0.00000         0.00000
 3.90        -3.45707        -2.70590     0.00000         0.00000
 4.00        -3.62387        -0.56315     0.00000         0.00000
 4.10        -3.56970         1.13430     0.00000         0.00000
 4.20        -3.39701         2.29815     0.00000         0.00000
 4.30        -3.11007         3.64240     0.00000         0.00000
 4.40        -2.66853         4.19785     0.00000         0.00000
 4.50        -2.27050         3.04855     0.00000         0.00000
 4.60        -2.05882         2.10882     0.00000         0.00000
 4.70        -1.84874         2.25975     6.00000       -14.69135
 4.80        -1.60687         1.83824     2.04315       -14.69135
 4.90        -1.48109         1.36420     0.06173       -14.16400
 5.00        -1.33403         1.31302    -0.78965        -7.58805
 5.10        -1.21849         0.99790    -1.45588        -6.20445
 5.20        -1.13445         0.71972    -2.03054        -3.60375
 5.30        -1.07454         0.68277    -2.17663         1.29880
 5.40        -0.99790         0.75087    -1.77078         4.27050
 5.50        -0.92437         0.57773    -1.32253         3.59020
 5.60        -0.88235         0.47269    -1.05274         2.17645
 5.70        -0.82983         0.54419    -0.88724         1.19359
 5.80        -0.77351         0.52521    -0.81402         0.75131
 5.90        -0.72479         0.40118    -0.73698         0.58011
 6.00        -0.69328         0.42017    -0.69800         0.44044
 6.10        -0.64076         0.42017    -0.64889         0.52052
 6.20        -0.60924         0.36765    -0.59390         0.60515
 6.30        -0.56723         0.36765    -0.52786         0.49528
 6.40        -0.53571         0.31513    -0.49484         0.38522
 6.50        -0.50420         0.31513    -0.45082         0.38522
 6.60        -0.47269         0.26261    -0.41780         0.38522
 6.70        -0.45168         0.26261    -0.37377         0.33019
 6.80        -0.42017         0.36765    -0.35176         0.22012
 6.90        -0.37815         0.31513    -0.32975         0.33019
 7.00        -0.35714         0.15756    -0.28572         0.38522
 7.10        -0.34664         0.15756    -0.25270         0.16509
 7.20        -0.32563         0.21008    -0.25270         0.11006
 7.30        -0.30462         0.21008    -0.23069         0.27516
 7.40        -0.28361         0.21008    -0.19767         0.22012
 7.50        -0.26261         0.26261    -0.18667         0.05503
 7.60        -0.23109         0.21008    -0.18667         0.11006
 7.70        -0.22059         0.10504    -0.16465         0.16509
 7.80        -0.21008         0.15756    -0.15365         0.05503
 7.90        -0.18908         0.15756    -0.15365         0.05503
 8.00        -0.17857         0.10504    -0.14264         0.05503
 8.10        -0.16807         0.21008    -0.14264         0.11006
 8.20        -0.13655         0.21008    -0.12063         0.11006
 8.30        -0.12605         0.10504    -0.12063        -0.05503
 8.40        -0.11555         0.05252    -0.13163         0.11006
 8.50        -0.11555         0.05252    -0.09862         0.16509
 8.60        -0.10504         0.05252    -0.09862         0.05503
 8.70        -0.10504         0.10504    -0.08761         0.16509
 8.80        -0.08403         0.21008    -0.06560         0.12760
 8.90        -0.06303         0.10504    -0.06209        -0.05503
 9.00        -0.06303         0.00000    -0.07660        -0.07257
 9.10        -0.06303         0.10504    -0.07660         0.05503
 9.20        -0.04202         0.15756    -0.06560         0.05503
 9.30        -0.03151         0.10504    -0.06560         0.11006
 9.40        -0.02101         0.10504    -0.04358         0.11006
 9.50        -0.01050         0.05252    -0.04358         0.00000
 9.60        -0.01050         0.00000    -0.04358         0.11006
 9.70        -0.01050         0.05252    -0.02157         0.05503
 9.80         0.00000         0.10504    -0.03258         0.00000
 9.90         0.01050         0.00000    -0.02157         0.16289
10.00         0.00000         0.00000     0.00000         0.16289
#END
#-- Asp-Lys   *
   0.000   0.000   0.000   0.000    
 3.00         7.06628       -10.56985     0.00000         0.00000
 3.10         6.00103       -10.56985     0.00000         0.00000
 3.20         4.95231       -10.31655     0.00000         0.00000
 3.30         3.93771        -9.85755     0.00000         0.00000
 3.40         2.98081        -9.22885     0.00000         0.00000
 3.50         2.09194        -8.73425     0.00000         0.00000
 3.60         1.23395        -8.31460     0.00000         0.00000
 3.70         0.42902        -7.08560     0.00000         0.00000
 3.80        -0.18316        -5.27880     0.00000         0.00000
 3.90        -0.62674        -3.83575     0.00000         0.00000
 4.00        -0.95032        -2.91685     0.00000         0.00000
 4.10        -1.21010        -2.04991     0.00000         0.00000
 4.20        -1.36030        -1.32840     0.00000         0.00000
 4.30        -1.47578        -1.08223     0.00000         0.00000
 4.40        -1.57674        -0.88040     0.00000         0.00000
 4.50        -1.65186        -0.64068     0.00000         0.00000
 4.60        -1.70488        -0.38628     0.00000         0.00000
 4.70        -1.72912        -0.12543     0.00000         0.00000
 4.80        -1.72996         0.09524     0.00000         0.00000
 4.90        -1.71007         0.33605     0.00000         0.00000
 5.00        -1.66275         0.57142     0.00000         0.00000
 5.10        -1.59579         0.74565     0.00000         0.00000
 5.20        -1.51362         0.97600     0.00000         0.00000
 5.30        -1.40059         1.10141     0.00000         0.00000
 5.40        -1.29334         1.14693     0.00000         0.00000
 5.50        -1.17121         1.17214     0.00000         0.00000
 5.60        -1.05892         1.10725     0.00000         0.00000
 5.70        -0.94976         0.95580     0.00000         0.00000
 5.80        -0.86776         0.90370     0.00000         0.00000
 5.90        -0.76901         0.93064     0.00000         0.00000
 6.00        -0.68163         0.85402     0.00000         0.00000
 6.10        -0.59821         0.66081     0.00000         0.00000
 6.20        -0.54946         0.43133     0.00000         0.00000
 6.30        -0.51194         0.24305     0.00000         0.00000
 6.40        -0.50086         0.09635     0.00000         0.00000
 6.50        -0.49267        -0.01765     0.00000         0.00000
 6.60        -0.50438        -0.20991     0.00000         0.00000
 6.70        -0.53466        -0.30450     0.00000         0.00000
 6.80        -0.56529        -0.39642     0.00000         0.00000
 6.90        -0.61394        -0.38120     0.00000         0.00000
 7.00        -0.64152        -0.19539     0.00000         0.00000
 7.10        -0.65302        -0.04597     0.00000         0.00000
 7.20        -0.65072         0.07356     0.00000         0.00000
 7.30        -0.63831         0.16091     0.00000         0.00000
 7.40        -0.61854         0.22527     0.00000         0.00000
 7.50        -0.59325         0.26895     0.00000         0.00000
 7.60        -0.56475         0.29534     0.00000         0.00000
 7.70        -0.53418         0.31143     0.00000         0.00000
 7.80        -0.50246         0.32366     0.00000         0.00000
 7.90        -0.46945         0.32596     0.00000         0.00000
 8.00        -0.43727         0.32366     0.00000         0.00000
 8.10        -0.40472         0.32136     0.00000         0.00000
 8.20        -0.37300         0.30658     0.00000         0.00000
 8.30        -0.34340         0.29865     0.00000         0.00000
 8.40        -0.31327         0.28860     0.00000         0.00000
 8.50        -0.28568         0.28044     0.00000         0.00000
 8.60        -0.25718         0.26895     0.00000         0.00000
 8.70        -0.23189         0.25056     0.00000         0.00000
 8.80        -0.20707         0.24072     0.00000         0.00000
 8.90        -0.18375         0.22693     0.00000         0.00000
 9.00        -0.16168         0.21764     0.00000         0.00000
 9.10        -0.14022         0.20155     0.00000         0.00000
 9.20        -0.12137         0.18849     0.00000         0.00000
 9.30        -0.10252         0.17930     0.00000         0.00000
 9.40        -0.08551         0.16781     0.00000         0.00000
 9.50        -0.06896         0.15980     0.00000         0.00000
 9.60        -0.05355         0.15172     0.00000         0.00000
 9.70        -0.03862         0.14788     0.00000         0.00000
 9.80        -0.02398         0.13333     0.00000         0.00000
 9.90        -0.01195         0.11988     0.00000         0.00000
10.00         0.00000         0.11988     0.00000         0.00000
#END
#-- Glu-Arg   *
  -1.500   -0.387   2.034   0.030     
 3.00        14.30590       -26.95335     0.00000         0.00000
 3.10        11.54973       -26.95335     0.00000         0.00000
 3.20         8.91523       -25.32700     0.00000         0.00000
 3.30         6.48433       -22.93310     0.00000         0.00000
 3.40         4.32861       -19.81700     0.00000         0.00000
 3.50         2.52093       -16.06360     0.00000         0.00000
 3.60         1.11589       -12.27245     0.00000         0.00000
 3.70         0.06644        -9.15565     0.00000         0.00000
 3.80        -0.71524        -6.67975     0.00000         0.00000
 3.90        -1.26951        -4.92315     0.00000         0.00000
 4.00        -1.69987        -3.91665     0.00000         0.00000
 4.10        -2.05284        -2.69050     0.00000         0.00000
 4.20        -2.23797        -1.27630     0.00000         0.00000
 4.30        -2.30810        -0.62055     0.00000         0.00000
 4.40        -2.36208        -0.52950     0.00000         0.00000
 4.50        -2.41400        -0.02555     0.00000         0.00000
 4.60        -2.36719         0.84370     0.00000         0.00000
 4.70        -2.24526         1.75045     0.00000         0.00000
 4.80        -2.01710         2.79655     0.00000         0.00000
 4.90        -1.68595         3.37725     0.00000         0.00000
 5.00        -1.34165         3.77635     0.00000         0.00000
 5.10        -0.93068         3.54360     2.33854         4.57745
 5.20        -0.63293         2.30385     0.91549       -12.27565
 5.30        -0.46991         1.84410    -0.11659        -9.05230
 5.40        -0.26411         1.62059    -0.89497        -6.35840
 5.50        -0.14579         0.89648    -1.38827        -3.46340
 5.60        -0.08482         0.54879    -1.58765        -1.92420
 5.70        -0.03603         0.48782    -1.77311        -1.51935
 5.80         0.01275         0.36586    -1.89152         0.00000
 5.90         0.03714         0.30489    -1.77311         1.90510
 6.00         0.07372         0.24391    -1.51050         3.72900
 6.10         0.08592         0.03914    -1.02731         3.62395
 6.20         0.08155         0.00512    -0.78571         2.23225
 6.30         0.08694         0.03033    -0.58086         1.89075
 6.40         0.08762         0.00000    -0.40756         1.33915
 6.50         0.08694        -0.00849    -0.31303         0.84900
 6.60         0.08592        -0.01685    -0.23776         0.74485
 6.70         0.08357        -0.02858    -0.16406         0.66025
 6.80         0.08020        -0.03707    -0.10571         0.58350
 6.90         0.07616        -0.03707    -0.04736         0.58130
 7.00         0.07279        -0.04381     0.01055         0.47016
 7.10         0.06740        -0.04044     0.04667         0.23918
 7.20         0.06470        -0.02935     0.05839         0.07408
 7.30         0.06153        -0.04718     0.06153        -0.04718     
 7.40         0.05527        -0.04479     0.05527        -0.04479
 7.50         0.05257        -0.03033     0.05257        -0.03033
 7.60         0.04920        -0.04718     0.04920        -0.04718
 7.70         0.04314        -0.04718     0.04314        -0.04718
 7.80         0.03977        -0.03033     0.03977        -0.03033
 7.90         0.03707        -0.02696     0.03707        -0.02696
 8.00         0.03437        -0.03033     0.03437        -0.03033
 8.10         0.03100        -0.03033     0.03100        -0.03033
 8.20         0.02831        -0.02696     0.02831        -0.02696
